Title:,"Time Series, Area-Averaged of Aerosol Optical Depth 550 nm (Dark Target) daily 1 ()"
User Start Date:,2020-01-01T00:00:00Z
User End Date:,2020-05-30T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.5,34.5,-81.5,36.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2020-01-01T00:00:00Z&endtime=2020-05-30T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=MOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean&variableFacets=dataProductObservation%3AObservation%3BdataFieldMeasurement%3AAerosol%20Optical%20Depth%2CCO%2CNO2%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean):,-9999
,
time, mean_MOD08_D3_6_1_Aerosol_Optical_Depth_Land_Ocean_Mean
1/1/20,0.038524026
1/2/20,-9999
1/3/20,-9999
1/4/20,0.19599327
1/5/20,0.045621327
1/6/20,0.005450756
1/7/20,0.124025392
1/8/20,0.030861609
1/9/20,0.028266437
1/10/20,-9999
1/11/20,-9999
1/12/20,0.053463907
1/13/20,-9999
1/14/20,-9999
1/15/20,0.106000005
1/16/20,0.068489677
1/17/20,0.049145192
1/18/20,-9999
1/19/20,0.043950291
1/20/20,0.077034082
1/21/20,0.087611748
1/22/20,0.022445367
1/23/20,-9999
1/24/20,-9999
1/25/20,0.087440735
1/26/20,0.076677445
1/27/20,0.119000006
1/28/20,0.047104714
1/29/20,0.115953607
1/30/20,0.130366886
1/31/20,-9999
2/1/20,0.166200984
2/2/20,0.019908283
2/3/20,0.047500002
2/4/20,-9999
2/5/20,-9999
2/6/20,-9999
2/7/20,-9999
2/8/20,-9999
2/9/20,0.069043173
2/10/20,-9999
2/11/20,-9999
2/12/20,-9999
2/13/20,-9999
2/14/20,0.051174353
2/15/20,0.03869987
2/16/20,-9999
2/17/20,0.071068748
2/18/20,-9999
2/19/20,-9999
2/20/20,-9999
2/21/20,0.114584419
2/22/20,0.032412055
2/23/20,-9999
2/24/20,-9999
2/25/20,-9999
2/26/20,0.128554025
2/27/20,0.023408001
2/28/20,0.088193657
2/29/20,0.052384994
3/1/20,0.072783874
3/2/20,-9999
3/3/20,-9999
3/4/20,-0.015500001
3/5/20,-9999
3/6/20,0.12700696
3/7/20,0.003992903
3/8/20,0.029286365
3/9/20,0.137139611
3/10/20,-9999
3/11/20,0.145334449
3/12/20,0.068167037
3/13/20,-9999
3/14/20,-9999
3/15/20,-9999
3/16/20,-9999
3/17/20,-9999
3/18/20,0.25714192
3/19/20,0.253000012
3/20/20,0.239457321
3/21/20,0.047957358
3/22/20,0.694000033
3/23/20,-9999
3/24/20,-9999
3/25/20,0.056043273
3/26/20,0.084247486
3/27/20,0.266986576
3/28/20,0.07440062
3/29/20,0.18664736
3/30/20,0.085983396
3/31/20,-9999
4/1/20,-9999
4/2/20,0.052619694
4/3/20,0.003602788
4/4/20,0.065542267
4/5/20,0.166819039
4/6/20,0.106607757
4/7/20,0.434951471
4/8/20,0.131746389
4/9/20,0.125776789
4/10/20,0.010130068
4/11/20,0.075157791
4/12/20,-9999
4/13/20,0.112829117
4/14/20,0.104716129
4/15/20,0.001568678
4/16/20,0.090306359
4/17/20,0.067335192
4/18/20,0.091003288
4/19/20,0.094138011
4/20/20,0.060996816
4/21/20,0.226902442
4/22/20,0.058112058
4/23/20,-9999
4/24/20,0.122981674
4/25/20,0.255922768
4/26/20,0.099109006
4/27/20,0.069350944
4/28/20,0.208418785
4/29/20,0.162000008
4/30/20,-9999
5/1/20,-0.02160064
5/2/20,0.124570772
5/3/20,0.092056282
5/4/20,0.159475749
5/5/20,0.292000014
5/6/20,0.135489443
5/7/20,0.113602212
5/8/20,-9999
5/9/20,0.106863269
5/10/20,0.003136543
5/11/20,0.092843596
5/12/20,0.157831331
5/13/20,-9999
5/14/20,0.35348316
5/15/20,0.033672531
5/16/20,0.180260646
5/17/20,-9999
5/18/20,-9999
5/19/20,-9999
5/20/20,-9999
5/21/20,-9999
5/22/20,0.224960073
5/23/20,0.26465507
5/24/20,0.095891796
5/25/20,0.324152186
5/26/20,-9999
