# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-31 11:21:30 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0214196125 CATAWBA RIVER AT NC HIGHWAY 16 NR MILLERSVILLE, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 0214196125
#            TS   parameter     statistic     Description
#        174404       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        174405       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        174406       00010     00003     Temperature, water, degrees Celsius (Mean)
#        174407       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        174408       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        174409       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	174404_00010_00001	174404_00010_00001_cd	174405_00010_00002	174405_00010_00002_cd	174406_00010_00003	174406_00010_00003_cd	174407_00300_00001	174407_00300_00001_cd	174408_00300_00002	174408_00300_00002_cd	174409_00300_00003	174409_00300_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	0214196125	2019-04-01	12.5	A	11.5	A	11.9	A	12.1	A	10.6	A	11.1	A
USGS	0214196125	2019-04-02	11.9	A	11.3	A	11.4	A	12.2	A	10.5	A	11.0	A
USGS	0214196125	2019-04-03	12.7	A	11.4	A	11.9	A	11.8	A	10.8	A	11.1	A
USGS	0214196125	2019-04-04	12.7	A	11.7	A	12.0	A	12.2	A	10.7	A	11.0	A
USGS	0214196125	2019-04-05	12.8	A	11.7	A	12.0	A	12.1	A	10.6	A	10.8	A
USGS	0214196125	2019-04-06	12.5	A	11.8	A	12.1	A	11.6	A	10.8	A	10.9	A
USGS	0214196125	2019-04-07	13.0	A	12.0	A	12.2	A	11.1	A	10.6	A	10.7	A
USGS	0214196125	2019-04-08	13.4	A	12.3	A	12.8	A	11.5	A	10.6	A	10.8	A
USGS	0214196125	2019-04-09	13.0	A	12.7	A	12.8	A	11.4	A	10.5	A	10.7	A
USGS	0214196125	2019-04-10	13.0	A	12.7	A	12.8	A	11.4	A	10.5	A	10.6	A
USGS	0214196125	2019-04-11	13.0	A	12.8	A	12.9	A	11.4	A	10.5	A	10.6	A
USGS	0214196125	2019-04-12	13.3	A	12.8	A	13.0	A	10.7	A	10.4	A	10.6	A
USGS	0214196125	2019-04-13	13.6	A	13.1	A	13.4	A	11.3	A	10.3	A	10.5	A
USGS	0214196125	2019-04-14	14.6	A	13.2	A	13.7	A	11.6	A	10.0	A	10.4	A
USGS	0214196125	2019-04-15	14.9	A	14.2	A	14.6	A	10.5	A	9.9	A	10.1	A
