# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-05-31 10:54:26 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03447687 FRENCH BROAD RIVER NEAR FLETCHER, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 03447687
#            TS   parameter     statistic     Description
#        247074       00010     00003     Temperature, water, degrees Celsius (Mean)
#        247075       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        247076       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        247087       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        247088       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        247089       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        247112       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        247113       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        247115       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	247074_00010_00003	247074_00010_00003_cd	247075_00010_00002	247075_00010_00002_cd	247076_00010_00001	247076_00010_00001_cd	247087_00400_00002	247087_00400_00002_cd	247088_00400_00001	247088_00400_00001_cd	247089_00400_00008	247089_00400_00008_cd	247112_00300_00002	247112_00300_00002_cd	247113_00300_00003	247113_00300_00003_cd	247115_00300_00001	247115_00300_00001_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03447687	2019-05-17	16.2	A	15.4	A	17.3	A	6.8	A	6.9	A	6.8	A	8.4	A	8.7	A	8.9	A
USGS	03447687	2019-05-18	17.4	A	16.6	A	18.2	A	6.8	A	6.9	A	6.8	A	8.2	A	8.4	A	8.7	A
USGS	03447687	2019-05-19	18.3	A	17.7	A	19.1	A	6.8	A	6.9	A	6.8	A	8.0	A	8.2	A	8.5	A
USGS	03447687	2019-05-20	18.7	A	18.1	A	19.5	A	6.8	A	6.9	A	6.8	A	8.0	A	8.2	A	8.5	A
USGS	03447687	2019-05-21	18.8	A	17.9	A	19.8	A	6.8	A	6.9	A	6.8	A	8.0	A	8.2	A	8.6	A
USGS	03447687	2019-05-22	19.1	A	18.3	A	19.9	A	6.8	A	6.9	A	6.8	A	7.9	A	8.2	A	8.6	A
USGS	03447687	2019-05-23	19.6	A	18.9	A	20.5	A	6.8	A	7.0	A	6.9	A	7.8	A	8.1	A	8.6	A
USGS	03447687	2019-05-24	20.2	A	19.3	A	21.3	A	6.8	A	6.9	A	6.8	A	7.7	A	7.9	A	8.3	A
USGS	03447687	2019-05-25	20.3	A	19.6	A	21.1	A	6.8	A	7.0	A	6.9	A	7.7	A	7.9	A	8.4	A
USGS	03447687	2019-05-26	20.5	A	19.6	A	21.6	A	6.8	A	7.0	A	6.9	A	7.6	A	7.9	A	8.3	A
USGS	03447687	2019-05-27	20.6	A	19.7	A	21.6	A	6.8	A	7.0	A	6.9	A	7.6	A	7.9	A	8.4	A
USGS	03447687	2019-05-28	20.6	A	19.5	A	21.8	A	6.8	A	7.0	A	6.9	A	7.6	A	7.9	A	8.5	A
USGS	03447687	2019-05-29	20.9	A	19.9	A	21.9	A	6.8	A	7.0	A	6.9	A	7.5	A	7.8	A	8.4	A
USGS	03447687	2019-05-30	21.0	A	20.0	A	22.2	A	6.8	A	7.1	A	6.9	A	7.5	A	7.8	A	8.5	A
USGS	03447687	2019-05-31	20.8	A	20.1	A	21.5	A	6.8	A	7.0	A	6.9	A	7.5	A	7.8	A	8.3	A
USGS	03447687	2019-06-01	20.1	A	19.1	A	21.1	A	6.9	A	7.1	A	6.9	A	7.6	A	8.0	A	8.7	A
USGS	03447687	2019-06-02	19.8	A	18.8	A	20.8	A	6.9	A	7.2	A	6.9	A	7.7	A	8.1	A	8.8	A
USGS	03447687	2019-06-03	19.8	A	18.7	A	21.0	A	6.9	A	7.2	A	6.9	A	7.7	A	8.1	A	8.9	A
USGS	03447687	2019-06-04	19.5	A	18.7	A	20.4	A	6.9	A	7.2	A	7.0	A	7.7	A	8.2	A	9.0	A
USGS	03447687	2019-06-05	19.1	A	18.7	A	19.5	A	6.9	A	7.0	A	6.9	A	7.8	A	8.1	A	8.5	A
USGS	03447687	2019-06-06	19.0	A	18.4	A	19.7	A	6.9	A	7.1	A	6.9	A	7.8	A	8.1	A	8.6	A
USGS	03447687	2019-06-07	19.2	A	18.9	A	19.5	A	6.9	A	6.9	A	6.9	A	7.6	A	7.8	A	7.9	A
USGS	03447687	2019-06-08	18.8	A	18.5	A	19.1	A	6.7	A	6.9	A	6.8	A	7.6	A	7.7	A	7.8	A
USGS	03447687	2019-06-09	18.6	A	18.3	A	19.4	A	6.8	A	6.9	A	6.8	A	7.7	A	7.8	A	7.9	A
USGS	03447687	2019-06-10	19.0	A	18.5	A	19.4	A	6.6	A	6.9	A	6.7	A	7.4	A	7.6	A	7.8	A
USGS	03447687	2019-06-11	18.9	A	18.4	A	19.5	A	6.6	A	6.7	A	6.6	A	7.2	A	7.5	A	7.8	A
USGS	03447687	2019-06-12	18.4	A	18.0	A	18.8	A	6.6	A	6.8	A	6.7	A	7.8	A	8.0	A	8.2	A
USGS	03447687	2019-06-13	18.1	A	17.4	A	18.9	A	6.8	A	6.8	A	6.8	A	8.0	A	8.1	A	8.4	A
USGS	03447687	2019-06-14	17.8	A	16.8	A	18.7	A	6.8	A	6.9	A	6.8	A	8.0	A	8.3	A	8.7	A
USGS	03447687	2019-06-15	17.7	A	16.8	A	18.5	A	6.8	A	6.9	A	6.9	A	8.2	A	8.4	A	8.6	A
USGS	03447687	2019-06-16	18.7	A	17.5	A	19.8	A	6.8	A	7.0	A	6.9	A	7.9	A	8.3	A	8.6	A
USGS	03447687	2019-06-17	20.0	A	18.9	A	21.0	A	6.8	A	7.0	A	6.9	A	7.6	A	7.9	A	8.3	A
USGS	03447687	2019-06-18	19.9	A	19.4	A	20.4	A	6.6	A	6.9	A	6.7	A	7.3	A	7.4	A	7.6	A
USGS	03447687	2019-06-19	19.3	A	18.9	A	19.7	A	6.6	A	6.7	A	6.6	A	7.4	A	7.6	A	7.7	A
USGS	03447687	2019-06-20	19.8	A	19.4	A	20.1	A	6.6	A	6.7	A	6.6	A	7.2	A	7.3	A	7.5	A
USGS	03447687	2019-06-21	19.7	A	18.9	A	20.4	A	6.6	A	6.8	A	6.7	A	7.5	A	7.8	A	7.9	A
USGS	03447687	2019-06-22	19.8	A	19.6	A	20.1	A	6.7	A	6.8	A	6.8	A	7.7	A	7.8	A	7.9	A
USGS	03447687	2019-06-23	19.9	A	19.3	A	20.6	A	6.8	A	6.9	A	6.8	A	7.7	A	7.8	A	8.0	A
USGS	03447687	2019-06-24	20.7	A	19.8	A	21.7	A	6.8	A	6.9	A	6.8	A	7.4	A	7.7	A	7.8	A
USGS	03447687	2019-06-25	21.0	A	20.5	A	21.7	A	6.8	A	6.9	A	6.8	A	7.4	A	7.5	A	7.7	A
USGS	03447687	2019-06-26	20.6	A	19.9	A	21.2	A	6.8	A	6.9	A	6.9	A	7.5	A	7.8	A	8.0	A
USGS	03447687	2019-06-27	20.7	A	19.6	A	21.8	A	6.8	A	7.0	A	6.9	A	7.6	A	7.8	A	8.2	A
USGS	03447687	2019-06-28	21.3	A	20.4	A	22.5	A	6.9	A	7.0	A	6.9	A	7.5	A	7.7	A	8.0	A
USGS	03447687	2019-06-29	21.6	A	20.5	A	22.8	A	6.9	A	7.0	A	6.9	A	7.4	A	7.7	A	8.1	A
USGS	03447687	2019-06-30	21.9	A	20.8	A	23.1	A	6.9	A	7.0	A	6.9	A	7.4	A	7.6	A	8.0	A
USGS	03447687	2019-07-01	22.2	A	21.0	A	23.6	A	6.9	A	7.0	A	6.9	A	7.3	A	7.6	A	8.0	A
USGS	03447687	2019-07-02	22.3	A	21.2	A	23.6	A	6.9	A	7.1	A	6.9	A	7.3	A	7.6	A	8.0	A
USGS	03447687	2019-07-03	22.1	A	21.2	A	23.2	A	6.8	A	7.0	A	6.9	A	7.2	A	7.5	A	8.0	A
USGS	03447687	2019-07-04	22.3	A	21.3	A	23.4	A	6.9	A	7.0	A	6.9	A	7.3	A	7.5	A	7.8	A
USGS	03447687	2019-07-05	22.6	A	21.7	A	23.6	A	6.9	A	7.0	A	6.9	A	7.2	A	7.5	A	7.9	A
USGS	03447687	2019-07-06	22.2	A	21.8	A	22.8	A	6.8	A	6.9	A	6.8	A	7.1	A	7.3	A	7.5	A
USGS	03447687	2019-07-07	22.1	A	21.4	A	22.8	A	6.7	A	6.9	A	6.8	A	7.1	A	7.2	A	7.3	A
USGS	03447687	2019-07-08	22.8	A	21.7	A	24.2	A	6.8	A	7.0	A	6.9	A	7.1	A	7.3	A	7.7	A
USGS	03447687	2019-07-09	22.8	A	22.2	A	23.7	A	6.8	A	7.0	A	6.9	A	7.1	A	7.3	A	7.6	A
USGS	03447687	2019-07-10	22.9	A	22.1	A	24.0	A	6.9	A	7.0	A	6.9	A	7.2	A	7.4	A	7.8	A
USGS	03447687	2019-07-11	22.9	A	22.3	A	23.5	A	6.8	A	7.0	A	6.9	A	7.1	A	7.3	A	7.7	A
USGS	03447687	2019-07-12	22.6	A	21.8	A	23.3	A	6.8	A	6.9	A	6.9	A	7.1	A	7.2	A	7.5	A
USGS	03447687	2019-07-13	22.4	A	22.0	A	22.7	A	6.7	A	6.9	A	6.8	A	7.0	A	7.2	A	7.3	A
USGS	03447687	2019-07-14	22.0	A	21.5	A	22.7	A	6.7	A	6.8	A	6.8	A	7.2	A	7.4	A	7.5	A
USGS	03447687	2019-07-15	21.5	A	20.9	A	22.2	A	6.7	A	6.8	A	6.7	A	7.2	A	7.5	A	7.6	A
USGS	03447687	2019-07-16	21.9	A	21.0	A	22.9	A	6.7	A	6.9	A	6.8	A	7.2	A	7.4	A	7.6	A
USGS	03447687	2019-07-17	22.1	A	21.5	A	22.6	A	6.7	A:[4]	6.8	A:[4]	6.8	A:[4]	7.2	A	7.4	A	7.5	A
USGS	03447687	2019-07-18	21.9	A	21.2	A	22.8	A	6.7	A	6.8	A	6.7	A	7.2	A	7.3	A	7.4	A
USGS	03447687	2019-07-19	22.4	A	21.5	A	23.6	A	6.7	A	6.8	A	6.7	A	7.2	A	7.3	A	7.5	A
USGS	03447687	2019-07-20	23.3	A	22.4	A	24.5	A	6.7	A	6.9	A	6.8	A	7.0	A	7.3	A	7.5	A
USGS	03447687	2019-07-21	23.5	A	22.7	A	24.3	A	6.7	A	6.9	A	6.8	A	6.8	A	7.2	A	7.5	A
