Title:,"Time Series, Area-Averaged of Methane, Mole Fraction in Air (Daytime/Ascending, AIRS-only) daily ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-30T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.5,34.5,-81.5,36.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-30T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened%2CAIRS3STD_006_CH4_VMR_A(z%3D1000)%2CMYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean&variableFacets=dataFieldMeasurement%3AAerosol%20Optical%20Depth%2CCH4%2CNO2%3B&portal=GIOVANNI&format=json"
Fill Value (AIRS3STD_006_CH4_VMR_A):, -9999

time, AIRS3STD_006_CH4_VMR_A
2019-01-01,-9999
2019-01-02,-9999
2019-01-03,-9999
2019-01-04,-9999
2019-01-05,1889.6535
2019-01-06,-9999
2019-01-07,1917.90362
2019-01-08,-9999
2019-01-09,1903.62334
2019-01-10,1854.32016
2019-01-11,1862.53168
2019-01-12,-9999
2019-01-13,-9999
2019-01-14,1940.87625
2019-01-15,-9999
2019-01-16,1928.76905
2019-01-17,1906.41731
2019-01-18,1883.13425
2019-01-19,-9999
2019-01-20,-9999
2019-01-21,1896.72158
2019-01-22,-9999
2019-01-23,1908.74562
2019-01-24,-9999
2019-01-25,1897.75648
2019-01-26,1875.93423
2019-01-27,-9999
2019-01-28,1888.72218
2019-01-29,-9999
2019-01-30,1844.0187
2019-01-31,-9999
2019-02-01,1868.45528
2019-02-02,1849.25328
2019-02-03,-9999
2019-02-04,1901.7607
2019-02-05,1843.08738
2019-02-06,1890.58483
2019-02-07,-9999
2019-02-08,1894.40749
2019-02-09,1891.51615
2019-02-10,-9999
2019-02-11,-9999
2019-02-12,1907.34863
2019-02-13,1861.71383
2019-02-14,1838.43076
2019-02-15,-9999
2019-02-16,-9999
2019-02-17,-9999
2019-02-18,-9999
2019-02-19,-9999
2019-02-20,1916.66186
2019-02-21,-9999
2019-02-22,1871.33749
2019-02-23,-9999
2019-02-24,1918.5245
2019-02-25,-9999
2019-02-26,1876.42116
2019-02-27,-9999
2019-02-28,-9999
2019-03-01,-9999
2019-03-02,-9999
2019-03-03,-9999
2019-03-04,-9999
2019-03-05,1974.40386
2019-03-06,1866.37044
2019-03-07,1888.92168
2019-03-08,-9999
2019-03-09,-9999
2019-03-10,-9999
2019-03-11,-9999
2019-03-12,1910.10852
2019-03-13,-9999
2019-03-14,1933.42566
2019-03-15,-9999
2019-03-16,-9999
2019-03-17,1908.27996
2019-03-18,1882.20292
2019-03-19,1937.15096
2019-03-20,-9999
2019-03-21,-9999
2019-03-22,1953.91476
2019-03-23,1935.28831
2019-03-24,1902.69202
2019-03-25,-9999
2019-03-26,-9999
2019-03-27,-9999
2019-03-28,-9999
2019-03-29,-9999
2019-03-30,1968.81592
2019-03-31,-9999
2019-04-01,1932.71139
2019-04-02,1911.53958
2019-04-03,1909.21128
2019-04-04,1908.44825
2019-04-05,-9999
2019-04-06,1905.95165
2019-04-07,1884.1678
2019-04-08,1843.08738
2019-04-09,-9999
2019-04-10,-9999
2019-04-11,1934.35699
2019-04-12,-9999
2019-04-13,1935.28831
2019-04-14,-9999
2019-04-15,1914.79921
2019-04-16,1908.27996
2019-04-17,1876.14933
2019-04-18,-9999
2019-04-19,-9999
2019-04-20,-9999
2019-04-21,-9999
2019-04-22,1912.00525
2019-04-23,1929.70037
2019-04-24,1935.28831
2019-04-25,-9999
2019-04-26,-9999
2019-04-27,1879.40896
2019-04-28,-9999
2019-04-29,1921.62891
2019-04-30,-9999
2019-05-01,-9999
2019-05-02,1948.98809
2019-05-03,1896.17276
2019-05-04,-9999
2019-05-05,-9999
2019-05-06,1903.62334
2019-05-07,-9999
2019-05-08,1881.2716
2019-05-09,1880.80594
2019-05-10,1897.56975
2019-05-11,-9999
2019-05-12,-9999
2019-05-13,-9999
2019-05-14,-9999
2019-05-15,1970.67857
2019-05-16,-9999
2019-05-17,1920.38715
2019-05-18,-9999
2019-05-19,1927.83773
2019-05-20,1909.21128
2019-05-21,-9999
2019-05-22,1890.95834
2019-05-23,-9999
2019-05-24,1937.15096
2019-05-25,-9999
2019-05-26,1954.84608
2019-05-27,1948.32683
2019-05-28,-9999
2019-05-29,1909.21128
2019-05-30,-9999
