Title:,"Time Series, Area-Averaged of CMG 0.05 Deg Monthly NDVI monthly 0.05 deg. [MODIS-Aqua ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-04-30T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.925,34.025,-81.125,36.625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-04-30T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=MYD13C2_006_CMG_0_05_Deg_Monthly_NDVI&variableFacets=dataFieldMeasurement%3AVegetation%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MYD13C2_006_CMG_0_05_Deg_Monthly_NDVI):, -3000

time, mean_MYD13C2_006_CMG_0_05_Deg_Monthly_NDVI
2019-01-01 00:00:00,0.527079344
2019-02-01 00:00:00,0.512734056
2019-03-01 00:00:00,0.533672273
2019-04-01 00:00:00,0.649673283
