Title:,"Time Series, Area-Averaged of NO2 Tropospheric Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-30T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.875,34.125,-81.125,36.625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-30T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=OMNO2d_003_ColumnAmountNO2TropCloudScreened%2CAIRS3STD_006_CH4_VMR_A(z%3D1000)%2CMYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean&variableFacets=dataFieldMeasurement%3AAerosol%20Optical%20Depth%2CCH4%2CNO2%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2TropCloudScreened
2019-01-01,-1.267651e+30
2019-01-02,-1.267651e+30
2019-01-03,-1.267651e+30
2019-01-04,-1.267651e+30
2019-01-05,-1.267651e+30
2019-01-06,-4.31957847e+14
2019-01-07,2.2314971e+15
2019-01-08,1.36744216e+15
2019-01-09,8.77878967e+14
2019-01-10,2.01859289e+15
2019-01-11,2.47275602e+15
2019-01-12,-1.267651e+30
2019-01-13,-1.267651e+30
2019-01-14,-1.267651e+30
2019-01-15,2.38065071e+15
2019-01-16,2.20455343e+15
2019-01-17,4.58092944e+15
2019-01-18,4.0689025e+15
2019-01-19,-1.267651e+30
2019-01-20,3.97986165e+15
2019-01-21,-1.267651e+30
2019-01-22,2.88632432e+15
2019-01-23,6.4283001e+15
2019-01-24,4.65196015e+15
2019-01-25,2.61747011e+15
2019-01-26,6.54151114e+15
2019-01-27,-1.267651e+30
2019-01-28,-1.267651e+30
2019-01-29,4.44033664e+15
2019-01-30,5.1499251e+15
2019-01-31,5.95898956e+15
2019-02-01,2.24752699e+15
2019-02-02,3.46050588e+15
2019-02-03,4.24833737e+15
2019-02-04,-1.267651e+30
2019-02-05,3.66459199e+15
2019-02-06,-1.267651e+30
2019-02-07,3.74848801e+15
2019-02-08,1.42825675e+15
2019-02-09,1.59889982e+15
2019-02-10,-1.267651e+30
2019-02-11,-1.267651e+30
2019-02-12,-1.267651e+30
2019-02-13,-1.267651e+30
2019-02-14,-8.94444388e+14
2019-02-15,-1.267651e+30
2019-02-16,3.33037079e+15
2019-02-17,-1.267651e+30
2019-02-18,3.79324505e+15
2019-02-19,-6.12440593e+14
2019-02-20,-1.267651e+30
2019-02-21,4.53276782e+15
2019-02-22,-1.267651e+30
2019-02-23,-1.267651e+30
2019-02-24,6.04678849e+14
2019-02-25,1.87399879e+15
2019-02-26,2.62369003e+15
2019-02-27,-1.267651e+30
2019-02-28,-1.267651e+30
2019-03-01,-1.267651e+30
2019-03-02,2.77355942e+15
2019-03-03,-1.267651e+30
2019-03-04,2.70604576e+15
2019-03-05,9.16318321e+14
2019-03-06,3.99727425e+15
2019-03-07,1.59362185e+15
2019-03-08,-1.267651e+30
2019-03-09,-1.267651e+30
2019-03-10,-1.267651e+30
2019-03-11,3.0743035e+15
2019-03-12,2.61627584e+15
2019-03-13,2.28807618e+15
2019-03-14,1.79811329e+15
2019-03-15,-1.267651e+30
2019-03-16,3.2163182e+15
2019-03-17,-1.267651e+30
2019-03-18,3.67898523e+15
2019-03-19,5.21785269e+15
2019-03-20,2.43939352e+15
2019-03-21,2.94057432e+15
2019-03-22,1.59727807e+15
2019-03-23,5.64940067e+14
2019-03-24,-1.267651e+30
2019-03-25,-1.267651e+30
2019-03-26,-1.267651e+30
2019-03-27,2.79450973e+15
2019-03-28,1.91856793e+15
2019-03-29,1.51017909e+15
2019-03-30,2.26212223e+15
2019-03-31,-1.267651e+30
2019-04-01,-1.267651e+30
2019-04-02,-1.267651e+30
2019-04-03,2.28924226e+15
2019-04-04,-1.267651e+30
2019-04-05,-1.267651e+30
2019-04-06,5.90478144e+14
2019-04-07,-1.267651e+30
2019-04-08,2.10753656e+15
2019-04-09,2.13097017e+15
2019-04-10,2.30269303e+15
2019-04-11,-1.267651e+30
2019-04-12,1.84679124e+15
2019-04-13,1.19454946e+15
2019-04-14,2.63482124e+15
2019-04-15,2.09609638e+15
2019-04-16,2.19348745e+15
2019-04-17,1.78759344e+15
2019-04-18,2.70379788e+15
2019-04-19,-1.267651e+30
2019-04-20,-1.267651e+30
2019-04-21,2.92328171e+15
2019-04-22,1.72731492e+15
2019-04-23,3.12857122e+15
2019-04-24,3.37107232e+15
2019-04-25,2.37636246e+15
2019-04-26,2.69266854e+15
2019-04-27,-1.267651e+30
2019-04-28,1.91114099e+15
2019-04-29,2.04074472e+15
2019-04-30,2.86301285e+15
2019-05-01,1.06246639e+15
2019-05-02,2.86104951e+15
2019-05-03,-1.267651e+30
2019-05-04,2.36258447e+15
2019-05-05,2.11944422e+15
2019-05-06,2.79493198e+15
2019-05-07,2.74947673e+15
2019-05-08,3.73349729e+14
2019-05-09,1.94341861e+15
2019-05-10,2.87699834e+15
2019-05-11,2.29222056e+15
2019-05-12,-1.267651e+30
2019-05-13,-1.267651e+30
2019-05-14,2.74117107e+15
2019-05-15,2.41996872e+15
2019-05-16,2.61156936e+15
2019-05-17,1.48061481e+15
2019-05-18,1.97792223e+15
2019-05-19,2.42456729e+15
2019-05-20,7.08982331e+14
2019-05-21,1.01328546e+15
2019-05-22,1.4248699e+15
2019-05-23,1.84796256e+15
2019-05-24,1.65349074e+15
2019-05-25,1.6279695e+15
2019-05-26,2.06465171e+15
2019-05-27,2.8123466e+14
2019-05-28,1.46851482e+15
2019-05-29,-1.267651e+30
2019-05-30,2.29087811e+15
