Title:,"Time Series, Area-Averaged of Transpiration hourly 0.125 deg. [NLDAS Model NLDAS_MOS0125_H ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2019-05-26T23:59:59Z
User Bounding Box:,"-84.9463,34.0137,-81.123,36.6504"
Data Bounding Box:,"-84.9375,34.0625,-81.1875,36.5625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2019-05-26T23:59:59Z&bbox=-84.9463,34.0137,-81.123,36.6504&data=NLDAS_MOS0125_H_002_transsfc&variableFacets=dataFieldDiscipline%3AWater%20and%20Energy%20Cycle%3B&portal=GIOVANNI&format=json"
Fill Value (mean_NLDAS_MOS0125_H_002_transsfc):,-9999
,
time, mean_NLDAS_MOS0125_H_002_transsfc
1/1/19 0:00,-1.08347273
1/1/19 1:00,-0.41338253
1/1/19 2:00,-0.164345428
1/1/19 3:00,-0.105925947
1/1/19 4:00,-0.083750874
1/1/19 5:00,-0.051769093
1/1/19 6:00,-0.019425372
1/1/19 7:00,-0.00878372
1/1/19 8:00,-0.014907304
1/1/19 9:00,-0.024465073
1/1/19 10:00,-0.024082327
1/1/19 11:00,-0.025855677
1/1/19 12:00,-0.023110211
1/1/19 13:00,-0.017151939
1/1/19 14:00,-0.310037017
1/1/19 15:00,-1.56151903
1/1/19 16:00,-5.14673233
1/1/19 17:00,-13.7143707
1/1/19 18:00,-28.097187
1/1/19 19:00,-41.1407318
1/1/19 20:00,-45.4855347
1/1/19 21:00,-33.2072639
1/1/19 22:00,-9.79495144
1/1/19 23:00,-0.242392272
1/2/19 0:00,0
1/2/19 1:00,0
1/2/19 2:00,0
1/2/19 3:00,0
1/2/19 4:00,0
1/2/19 5:00,0
1/2/19 6:00,0
1/2/19 7:00,-9.54E-07
1/2/19 8:00,-9.54E-07
1/2/19 9:00,-1.53E-05
1/2/19 10:00,-3.06E-05
1/2/19 11:00,-9.54E-07
1/2/19 12:00,-0.000186049
1/2/19 13:00,-0.001040964
1/2/19 14:00,-0.029477203
1/2/19 15:00,-0.977139294
1/2/19 16:00,-21.028223
1/2/19 17:00,-38.1590118
1/2/19 18:00,-43.5865974
1/2/19 19:00,-41.3007889
1/2/19 20:00,-33.373436
1/2/19 21:00,-17.517704
1/2/19 22:00,-4.27883101
1/2/19 23:00,-0.30153358
1/3/19 0:00,-0.007549077
1/3/19 1:00,-0.000156
1/3/19 2:00,0
1/3/19 3:00,-3.07E-05
1/3/19 4:00,-1.61E-05
1/3/19 5:00,0
1/3/19 6:00,-7.64E-05
1/3/19 7:00,-0.000136769
1/3/19 8:00,-0.000242686
1/3/19 9:00,-0.000257832
1/3/19 10:00,-0.000121331
1/3/19 11:00,-4.55E-05
1/3/19 12:00,-0.000368568
1/3/19 13:00,-0.001198509
1/3/19 14:00,-0.012133273
1/3/19 15:00,-0.234040096
1/3/19 16:00,-1.88989055
1/3/19 17:00,-5.69605923
1/3/19 18:00,-13.7818336
1/3/19 19:00,-23.5188141
1/3/19 20:00,-28.5297432
1/3/19 21:00,-23.6985664
1/3/19 22:00,-8.47861767
1/3/19 23:00,-0.265279114
1/4/19 0:00,0
1/4/19 1:00,0
1/4/19 2:00,0
1/4/19 3:00,-1.91E-06
1/4/19 4:00,0
1/4/19 5:00,-1.91E-06
1/4/19 6:00,-0.000108036
1/4/19 7:00,-0.002730515
1/4/19 8:00,-0.004041233
1/4/19 9:00,-0.002321535
1/4/19 10:00,-0.004419695
1/4/19 11:00,-0.005397607
1/4/19 12:00,-0.00436906
1/4/19 13:00,-0.003781691
1/4/19 14:00,-0.029579092
1/4/19 15:00,-0.398217887
1/4/19 16:00,-2.49748993
1/4/19 17:00,-7.67818594
1/4/19 18:00,-16.8081303
1/4/19 19:00,-26.6146202
1/4/19 20:00,-31.9941788
1/4/19 21:00,-25.3331661
1/4/19 22:00,-12.8705473
1/4/19 23:00,-3.88405514
1/5/19 0:00,-2.19146657
1/5/19 1:00,-1.69202721
1/5/19 2:00,-1.5758239
1/5/19 3:00,-1.62937582
1/5/19 4:00,-1.3976264
1/5/19 5:00,-1.18642807
1/5/19 6:00,-1.06479847
1/5/19 7:00,-0.89013499
1/5/19 8:00,-0.719634891
1/5/19 9:00,-0.579298139
1/5/19 10:00,-0.51151067
1/5/19 11:00,-0.560371578
1/5/19 12:00,-0.517000556
1/5/19 13:00,-0.658541501
1/5/19 14:00,-4.03755808
1/5/19 15:00,-12.9902067
1/5/19 16:00,-27.7585659
1/5/19 17:00,-48.2895813
1/5/19 18:00,-69.1688538
1/5/19 19:00,-79.0630951
1/5/19 20:00,-75.8888321
1/5/19 21:00,-56.8653183
1/5/19 22:00,-26.925066
1/5/19 23:00,-4.44422817
1/6/19 0:00,-1.01632798
1/6/19 1:00,-0.403622866
1/6/19 2:00,-0.324234158
1/6/19 3:00,-0.303412378
1/6/19 4:00,-0.276560783
1/6/19 5:00,-0.242167681
1/6/19 6:00,-0.20759277
1/6/19 7:00,-0.164115265
1/6/19 8:00,-0.115416862
1/6/19 9:00,-0.073931426
1/6/19 10:00,-0.048224989
1/6/19 11:00,-0.03704105
1/6/19 12:00,-0.032219891
1/6/19 13:00,-0.028744549
1/6/19 14:00,-0.294528693
1/6/19 15:00,-7.86711264
1/6/19 16:00,-62.3652916
1/6/19 17:00,-98.1344376
1/6/19 18:00,-119.365768
1/6/19 19:00,-124.882721
1/6/19 20:00,-112.236336
1/6/19 21:00,-66.8546524
1/6/19 22:00,-13.012392
1/6/19 23:00,-0.577269614
1/7/19 0:00,-0.063996226
1/7/19 1:00,-0.005651959
1/7/19 2:00,-0.000493523
1/7/19 3:00,-0.000169388
1/7/19 4:00,-0.000216071
1/7/19 5:00,-0.000262801
1/7/19 6:00,-0.00066485
1/7/19 7:00,-0.001498857
1/7/19 8:00,-0.011252054
1/7/19 9:00,-0.060555879
1/7/19 10:00,-0.183370262
1/7/19 11:00,-0.357055068
1/7/19 12:00,-0.49476862
1/7/19 13:00,-0.483540207
1/7/19 14:00,-2.25821376
1/7/19 15:00,-20.9266109
1/7/19 16:00,-61.7767448
1/7/19 17:00,-84.9601059
1/7/19 18:00,-101.595688
1/7/19 19:00,-104.330994
1/7/19 20:00,-92.7374115
1/7/19 21:00,-66.3869095
1/7/19 22:00,-31.9996853
1/7/19 23:00,-5.71401167
1/8/19 0:00,-1.7850225
1/8/19 1:00,-1.16352725
1/8/19 2:00,-1.04080641
1/8/19 3:00,-1.06279504
1/8/19 4:00,-0.99900043
1/8/19 5:00,-0.812695086
1/8/19 6:00,-0.658384144
1/8/19 7:00,-0.570128798
1/8/19 8:00,-0.485253394
1/8/19 9:00,-0.455319285
1/8/19 10:00,-0.479572117
1/8/19 11:00,-0.425685197
1/8/19 12:00,-0.349729955
1/8/19 13:00,-0.309160173
1/8/19 14:00,-2.53955436
1/8/19 15:00,-16.5690346
1/8/19 16:00,-38.0860901
1/8/19 17:00,-54.3089676
1/8/19 18:00,-68.2698746
1/8/19 19:00,-74.5790329
1/8/19 20:00,-70.5227203
1/8/19 21:00,-53.6021576
1/8/19 22:00,-28.3945541
1/8/19 23:00,-7.11060667
1/9/19 0:00,-3.05883074
1/9/19 1:00,-2.19848967
1/9/19 2:00,-2.3599658
1/9/19 3:00,-2.52411056
1/9/19 4:00,-2.31410408
1/9/19 5:00,-2.17466116
1/9/19 6:00,-2.0351634
1/9/19 7:00,-1.57809103
1/9/19 8:00,-1.26734674
1/9/19 9:00,-1.01636124
1/9/19 10:00,-0.770991623
1/9/19 11:00,-0.660680473
1/9/19 12:00,-0.58438313
1/9/19 13:00,-0.701513112
1/9/19 14:00,-3.64352655
1/9/19 15:00,-18.3078995
1/9/19 16:00,-37.3747139
1/9/19 17:00,-51.8379707
1/9/19 18:00,-61.4522018
1/9/19 19:00,-61.6636734
1/9/19 20:00,-54.2491455
